sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
28;DHT22;8;-1.306;36.733;2017-10-01T05:51:21.546304+00:00;temperature;19.40
27;SDS011;8;-1.306;36.733;2017-10-01T05:53:50.604046+00:00;P2;5.83
27;SDS011;8;-1.306;36.733;2017-10-01T05:53:50.604046+00:00;P1;8.13
28;DHT22;8;-1.306;36.733;2017-10-01T05:53:52.118487+00:00;humidity;63.40
28;DHT22;8;-1.306;36.733;2017-10-01T05:53:52.118487+00:00;temperature;19.50
27;SDS011;8;-1.306;36.733;2017-10-01T05:56:21.019850+00:00;P2;6.67
27;SDS011;8;-1.306;36.733;2017-10-01T05:56:21.019850+00:00;P1;20.43
28;DHT22;8;-1.306;36.733;2017-10-01T05:56:22.510988+00:00;humidity;63.40
28;DHT22;8;-1.306;36.733;2017-10-01T05:56:22.510988+00:00;temperature;19.60
27;SDS011;8;-1.306;36.733;2017-10-01T05:58:51.306071+00:00;P2;5.83
27;SDS011;8;-1.306;36.733;2017-10-01T05:58:51.306071+00:00;P1;21.63
28;DHT22;8;-1.306;36.733;2017-10-01T05:58:52.894201+00:00;humidity;63.00
28;DHT22;8;-1.306;36.733;2017-10-01T05:58:52.894201+00:00;temperature;19.70
27;SDS011;8;-1.306;36.733;2017-10-01T06:01:21.557614+00:00;P2;5.40
27;SDS011;8;-1.306;36.733;2017-10-01T06:01:21.557614+00:00;P1;11.77
28;DHT22;8;-1.306;36.733;2017-10-01T06:01:23.776594+00:00;humidity;62.80
28;DHT22;8;-1.306;36.733;2017-10-01T06:01:23.776594+00:00;temperature;19.70
27;SDS011;8;-1.306;36.733;2017-10-01T06:03:53.022460+00:00;P2;6.03
27;SDS011;8;-1.306;36.733;2017-10-01T06:03:53.022460+00:00;P1;12.20
28;DHT22;8;-1.306;36.733;2017-10-01T06:03:54.879129+00:00;humidity;61.80
28;DHT22;8;-1.306;36.733;2017-10-01T06:03:54.879129+00:00;temperature;19.80
27;SDS011;8;-1.306;36.733;2017-10-01T06:06:23.852726+00:00;P2;5.23
27;SDS011;8;-1.306;36.733;2017-10-01T06:06:23.852726+00:00;P1;16.03
28;DHT22;8;-1.306;36.733;2017-10-01T06:06:25.304584+00:00;humidity;61.80
28;DHT22;8;-1.306;36.733;2017-10-01T06:06:25.304584+00:00;temperature;19.80
27;SDS011;8;-1.306;36.733;2017-10-01T06:08:55.007226+00:00;P2;5.27
27;SDS011;8;-1.306;36.733;2017-10-01T06:08:55.007226+00:00;P1;17.10
28;DHT22;8;-1.306;36.733;2017-10-01T06:08:57.576256+00:00;humidity;61.10
28;DHT22;8;-1.306;36.733;2017-10-01T06:08:57.576256+00:00;temperature;19.90
27;SDS011;8;-1.306;36.733;2017-10-01T06:11:27.581717+00:00;P2;5.03
27;SDS011;8;-1.306;36.733;2017-10-01T06:11:27.581717+00:00;P1;9.40
28;DHT22;8;-1.306;36.733;2017-10-01T06:11:29.591612+00:00;humidity;60.60
28;DHT22;8;-1.306;36.733;2017-10-01T06:11:29.591612+00:00;temperature;19.90
27;SDS011;8;-1.306;36.733;2017-10-01T06:13:58.633367+00:00;P2;5.10
27;SDS011;8;-1.306;36.733;2017-10-01T06:13:58.633367+00:00;P1;6.93
28;DHT22;8;-1.306;36.733;2017-10-01T06:14:00.819281+00:00;humidity;60.20
28;DHT22;8;-1.306;36.733;2017-10-01T06:14:00.819281+00:00;temperature;20.00
27;SDS011;8;-1.306;36.733;2017-10-01T06:16:29.687427+00:00;P2;5.80
27;SDS011;8;-1.306;36.733;2017-10-01T06:16:29.687427+00:00;P1;13.03
28;DHT22;8;-1.306;36.733;2017-10-01T06:16:31.652549+00:00;humidity;60.20
28;DHT22;8;-1.306;36.733;2017-10-01T06:16:31.652549+00:00;temperature;20.10
27;SDS011;8;-1.306;36.733;2017-10-01T06:19:01.113591+00:00;P2;5.60
27;SDS011;8;-1.306;36.733;2017-10-01T06:19:01.113591+00:00;P1;11.33
28;DHT22;8;-1.306;36.733;2017-10-01T06:19:02.638117+00:00;humidity;60.00
28;DHT22;8;-1.306;36.733;2017-10-01T06:19:02.638117+00:00;temperature;20.10
27;SDS011;8;-1.306;36.733;2017-10-01T06:21:31.948248+00:00;P2;5.50
27;SDS011;8;-1.306;36.733;2017-10-01T06:21:31.948248+00:00;P1;10.33
28;DHT22;8;-1.306;36.733;2017-10-01T06:21:33.347251+00:00;humidity;59.90
28;DHT22;8;-1.306;36.733;2017-10-01T06:21:33.347251+00:00;temperature;20.10
27;SDS011;8;-1.306;36.733;2017-10-01T06:24:02.578225+00:00;P2;5.10
27;SDS011;8;-1.306;36.733;2017-10-01T06:24:02.578225+00:00;P1;10.03
28;DHT22;8;-1.306;36.733;2017-10-01T06:24:04.927419+00:00;humidity;59.60
